sku;grouped_skus;attribute_set_code;type;product_websites;name;meta_title;meta_description;description;short_description;ed_model;categories;ed_brand;ed_type;ed_color;image;small_image;thumbnail
andreas_500_20_110030506051;1035110;Default;grouped;base;Andreas;Andreas;Andreas;Andreas;Andreas;Andreas;Shop/Home accessories/Small furniture/Chairs;Mica Decorations;to be determined;grey; 103511001.jpg; 103511001.jpg; 103511001.jpg
andreas_500_60_110030506051;1035111;Default;grouped;base;Andreas;Andreas;Andreas;Andreas;Andreas;Andreas;Shop/Home accessories/Small furniture/Chairs;Mica Decorations;to be determined;yellow; 103511101.jpg; 103511101.jpg; 103511101.jpg
andreas_500_80_110030506051;1035109;Default;grouped;base;Andreas;Andreas;Andreas;Andreas;Andreas;Andreas;Shop/Home accessories/Small furniture/Chairs;Mica Decorations;to be determined;green; 103510901.jpg; 103510901.jpg; 103510901.jpg
anem_4_100_120030906090;1016546;Default;grouped;base;Anemone;Anemone;Anemone;Anemone;Anemone;Anemone;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;anemone;pink; 101654601.jpg; 101654601.jpg; 101654601.jpg
anem_4_110_120030906090;1019426;Default;grouped;base;Anemone;Anemone;Anemone;Anemone;Anemone;Anemone;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;anemone;purple; 101942601.jpg; 101942601.jpg; 101942601.jpg
anem_4_14_120030906090;1016416;Default;grouped;base;Anemone;Anemone;Anemone;Anemone;Anemone;Anemone;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;anemone;cream; 101641601.jpg; 101641601.jpg; 101641601.jpg
anem_4_81_120030906090;1016417;Default;grouped;base;Anemone;Anemone;Anemone;Anemone;Anemone;Anemone;Shop/Artificial flowers & plants/Flowers & bouquets/Stem flowers;Mica Decorations;anemone;l.green; 101641701.jpg; 101641701.jpg; 101641701.jpg
ange_500_20_110030306030; 1008504, 1008505, 1008506, 1008507;Default;grouped;base;Angelo;Angelo;Angelo;Angelo;Angelo;Angelo;Shop/Home accessories/Room accents/Decorative objects;Casa Vivante;to be determined;grey; 100850401.jpg; 100850401.jpg; 100850401.jpg
ania_174_180_100030206022; 1007047, 147540;Default;grouped;base;Ania;Ania;Ania;Ania;Ania;Ania;Shop/Pottery & glassware/Glassware/Glass bell jars;Casa Vivante;cover glass;transparent; 100704701.jpg; 100704701.jpg; 100704701.jpg
ankara_520_21_110030406040;1023508;Default;grouped;base;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Shop/Home accessories/Lamps & lighting/Ceiling lamps;Mica Decorations;Hanging lamp;l.grey; 102350801.jpg; 102350801.jpg; 102350801.jpg
ankara_520_22_110030406040;1023509;Default;grouped;base;Ankara;Ankara;Ankara;Ankara;Ankara;Ankara;Shop/Home accessories/Lamps & lighting/Ceiling lamps;Mica Decorations;Hanging lamp;d.grey; 102350901.jpg; 102350901.jpg; 102350901.jpg
anny_151_55_100030006000; 1007644, 1007645, 1007646;Default;grouped;base;Anny;Anny;Anny;Anny;Anny;Anny;Shop/Pottery & glassware/Indoor pottery/Indoor pots;Mica Decorations;pot;salmon; 100764401.jpg; 100764401.jpg; 100764401.jpg
anth_5_10_120031006101;947887;Default;grouped;base;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Shop/Artificial flowers & plants/Plants/Flowering plants;Mica Decorations;anthurium;white; 94788701.jpg; 94788701.jpg; 94788701.jpg
anth_5_101_120031006101;949920;Default;grouped;base;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Shop/Artificial flowers & plants/Plants/Flowering plants;Mica Decorations;anthurium;l.pink; 94992001.jpg; 94992001.jpg; 94992001.jpg
anth_5_102_120031006101;949919;Default;grouped;base;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Shop/Artificial flowers & plants/Plants/Flowering plants;Mica Decorations;anthurium;d.pink; 94991901.jpg; 94991901.jpg; 94991901.jpg
anth_5_40_120031006101;947888;Default;grouped;base;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Anthurium;Shop/Artificial flowers & plants/Plants/Flowering plants;Mica Decorations;anthurium;red; 94788801.jpg; 94788801.jpg; 94788801.jpg
