sku;ed_model;ed_color;ed_size;;
88818;Scandia;blue;H260.D163.;;
88819;Scandia;blue;H305.D175.;;
88853;Scandia;green;H155.D112.;;
88856;Scandia;green;H215.D150.;;
88857;Scandia;green;H230.D163.;;
88858;Scandia;green;H260.D163.;;
88859;Scandia;green;H305.D175.;;
88860;Scandia;green;H365.D183.;;
98819;Colorado;green;L270.D20.;;
788615;Icelandic;white;H155.D94.;;
788617;Icelandic;white;H215.D132.;;
788616;Icelandic;white;H185.D119.;;
884745;Macallan;green;H155.D104.;;
884746;Macallan;green;H185.D127.;;
884747;Macallan;green;H215.D137.;;
884748;Macallan;green;H230.D140.;;
884749;Macallan;green;H260.D150.;;
157105;Sissy;white;L35.W35.H118;;
157114;Sissy;white;L133.W48.H89;;
11900;;white;L23.H30;;
11901;;white;L86.W57.H50;;
11902;;white;L82.W60.H110;;
707495;Lipa;white;L25.W12.H10;;
707496;Lipa;white;L31.W16.H18;;
707497;Lipa;white;L32.W16.H23;;
88852;Scandia;green;H425.D203.;;
386240;;NULL;;;
386241;;NULL;;;
394650;;NULL;L102.W91.4.H152;;
394651;;NULL;L102.W91.4.H152;;
394652;;NULL;L102.W91.4.H152;;
394653;;NULL;L102.W91.4.H152;;
394654;;NULL;L102.W91.4.H152;;
394655;;NULL;L102.W91.4.H152;;
394656;;NULL;L102.W91.4.H152;;
370351;Promo Connect;black;L5.W8.H7.5;;
370352;Promo Connect;black;L5.5.W9.5.H8;;
370354;Promo Connect;black;L4.W1.5.H7;;
370355;Promo Connect;black;L500;;
370361;Promo Connect;warm white;L800;;
370364;Promo Connect;warm white;L230.H60;;
112960;Jimmy;l.grey;L15.W15.H15;;
788049;Forest Fr.Pine;green;H230.D157.;;
788050;Forest Fr.Pine;green;H260.D168.;;
788051;Forest Fr.Pine;green;H305.D188.;;
788052;Forest Fr.Pine;green;H365.D208.;;
140020;Emy;terra;H22.D33.;;
388725;Bristlecone Fir;green;H155.D99.;;
388726;Bristlecone Fir;green;H185.D119.;;
388727;Bristlecone Fir;green;H215.D127.;;
388914;Alaskan Cedar Frosted;blue;H155.D99.;;
388915;Alaskan Cedar Frosted;blue;H185.D109.;;
388917;Alaskan Cedar Frosted;blue;H215.D127.;;
388918;Alaskan Cedar Frosted;blue;H230.D137.;;
388919;Alaskan Cedar Frosted;blue;H260.D155.;;
120501;;l.purple;L7.5.W7.5.H15.7;;
120503;;l.purple;L7.5.W7.5.H15.7;;
120530;;beige;L14.5.W8.H9.5;;
120532;;d.green;L14.5.W8.H9.5;;
120541;;purple;L7.5.W7.5.H15.7;;
120545;;transparent;L7.5.W7.5.H15.7;;
120546;;pink;L7.5.W7.5.H15.7;;
120547;;purple;L7.5.W7.5.H15.7;;
120548;;l.green;L7.5.W7.5.H15.7;;
120550;;red;L7.5.W7.5.H15.7;;
381645;;multicolour;L19.W16.H17;;
381646;;multicolour;L18.W15.5.H17;;
381650;;mixed colours;L4.H6;;
381651;;red;L3.H3;;
146010;Tigo;transparent;H14.5.D14.5.;;
146011;Tigo;transparent;H29.D14.5.;;
146012;Tigo;transparent;H25.D19.;;
120502;;l.purple;L7.5.W7.5.H15.7;;
149502;Lidy;white;H12.D14.5.;;
149049;Britt;transparent;L12.W12.H12;;
149051;Britt;transparent;L16.W16.H16;;
788632;Richmond;green;D45.;;
788633;Richmond;green;D60.;;
788634;Richmond;green;D90.;;
788636;Richmond;green;L270.D30.;;
788638;Richmond;green;L180.D36.;;
788622;Richmond;green;H60.D53.;;
788623;Richmond;green;H90.D69.;;
788625;Richmond;green;H155.D102.;;
788626;Richmond;green;H185.D117.;;
788627;Richmond;green;H215.D142.;;
788628;Richmond;green;H230.D155.;;
788629;Richmond;green;H260.D163.;;
790622;Richmond;green;H60.D53.;;
790623;Richmond;green;H90.D69.;;
790625;Richmond;green;H155.D102.;;
790626;Richmond;green;H185.D117.;;
790627;Richmond;green;H215.D142.;;
790628;Richmond;green;H230.D155.;;
790629;Richmond;green;H260.D163.;;
788682;Sierra;green;H60.D53.;;
788683;Sierra;green;H90.D69.;;
788685;Sierra;green;H155.D109.;;
788686;Sierra;green;H185.D127.;;
788687;Sierra;green;H215.D147.;;
788688;Sierra;green;H230.D157.;;
788689;Sierra;green;H260.D170.;;
